,Unit of assessment name,Institution name,4*,3*,2*,1*,FTE Category A staff submitted
1,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Anglia Ruskin University,20,80,0,0,11.3
5,"Psychology, Psychiatry and Neuroscience",Anglia Ruskin University,0,0,20,80,13.7
9,Biological Sciences,Anglia Ruskin University,0,10,70,20,7.25
13,General Engineering,Anglia Ruskin University,0,70,30,0,8.0
17,"Architecture, Built Environment and Planning",Anglia Ruskin University,0,0,50,50,8.0
21,"Geography, Environmental Studies and Archaeology",Anglia Ruskin University,23.3,36.7,40,0,17.5
25,Business and Management Studies,Anglia Ruskin University,10,70,20,0,14.2
29,Law,Anglia Ruskin University,0,40,50,10,10.2
33,Social Work and Social Policy,Anglia Ruskin University,0,0,80,20,14.31
37,Education,Anglia Ruskin University,0,0,50,50,5.2
41,English Language and Literature,Anglia Ruskin University,0,46.7,40,13.3,16.8
45,History,Anglia Ruskin University,0,0,40,20,5.5
49,"Art and Design: History, Practice and Theory",Anglia Ruskin University,0,70,30,0,13.9
53,"Music, Drama, Dance and Performing Arts",Anglia Ruskin University,40,60,0,0,13.8
57,"Communication, Cultural and Media Studies, Library and Information Management",Anglia Ruskin University,0,40,60,0,8.7
61,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Aston University,55.7,38.6,5.7,0,56.8
65,Computer Science and Informatics,Aston University,40,60,0,0,18.2
69,"Electrical and Electronic Engineering, Metallurgy and Materials",Aston University,26.7,73.3,0,0,24.0
73,General Engineering,Aston University,26.7,46.6,13.4,13.3,23.63
77,Business and Management Studies,Aston University,26.7,73.3,0,0,46.3
81,Area Studies,Aston University,30,50,20,0,12.0
85,Modern Languages and Linguistics,Aston University,60,13.3,26.7,0,18.5
89,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Bath,73.3,20,6.7,0,54.2
93,Biological Sciences,University of Bath,13.3,86.7,0,0,24.5
97,Chemistry,University of Bath,50,50,0,0,33.1
101,Physics,University of Bath,66.7,33.3,0,0,23.0
105,Mathematical Sciences,University of Bath,42,42,8,8,44.4
109,Computer Science and Informatics,University of Bath,0,100,0,0,24.0
113,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Bath,38.6,61.4,0,0,61.0
117,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Bath,23.3,76.7,0,0,20.5
121,"Architecture, Built Environment and Planning",University of Bath,90,10,0,0,28.38
125,Business and Management Studies,University of Bath,48.6,40,0,11.4,64.9
129,Social Work and Social Policy,University of Bath,84,16,0,0,35.55
133,"Sport and Exercise Sciences, Leisure and Tourism",University of Bath,73.3,26.7,0,0,22.0
137,Area Studies,University of Bath,40,60,0,0,26.0
141,Education,Bath Spa University,0,40,60,0,13.2
145,English Language and Literature,Bath Spa University,0,73.3,26.7,0,21.05
149,History,Bath Spa University,0,70,30,0,6.2
153,"Art and Design: History, Practice and Theory",Bath Spa University,0,30,70,0,14.17
157,"Music, Drama, Dance and Performing Arts",Bath Spa University,60,40,0,0,12.0
161,"Communication, Cultural and Media Studies, Library and Information Management",Bath Spa University,0,80,20,0,7.4
165,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Bedfordshire,53.3,46.7,0,0,24.9
169,Earth Systems and Environmental Sciences,University of Bedfordshire,0,20,70,10,4.8
173,Computer Science and Informatics,University of Bedfordshire,0,50,40,10,34.6
177,Business and Management Studies,University of Bedfordshire,0,10,90,0,14.0
181,Law,University of Bedfordshire,0,0,100,0,5.2
185,Social Work and Social Policy,University of Bedfordshire,60,40,0,0,14.2
189,Education,University of Bedfordshire,0,0,60,40,8.4
193,"Sport and Exercise Sciences, Leisure and Tourism",University of Bedfordshire,0,13.3,60,26.7,19.4
197,English Language and Literature,University of Bedfordshire,100,0,0,0,9.0
201,"Music, Drama, Dance and Performing Arts",University of Bedfordshire,0,0,60,40,6.8
205,"Communication, Cultural and Media Studies, Library and Information Management",University of Bedfordshire,0,60,40,0,11.5
209,"Psychology, Psychiatry and Neuroscience",Birkbeck College,100,0,0,0,28.35
213,Biological Sciences,Birkbeck College,44,38,14,0,21.2
217,Earth Systems and Environmental Sciences,Birkbeck College,60,32,8,0,9.0
221,Computer Science and Informatics,Birkbeck College,0,63.3,10,26.7,18.8
225,Economics and Econometrics,Birkbeck College,0,70,20,10,25.15
229,Business and Management Studies,Birkbeck College,10,50,40,0,30.1
233,Law,Birkbeck College,20,40,40,0,27.24
237,Politics and International Studies,Birkbeck College,40,50,10,0,12.8
241,Sociology,Birkbeck College,40,50,10,0,26.25
245,Modern Languages and Linguistics,Birkbeck College,30,60,10,0,25.45
249,English Language and Literature,Birkbeck College,10,60,30,0,33.7
253,History,Birkbeck College,32,68,0,0,35.63
257,Philosophy,Birkbeck College,40,30,30,0,12.3
261,"Art and Design: History, Practice and Theory",Birkbeck College,40,60,0,0,21.79
265,Clinical Medicine,University of Birmingham,54.1,36.5,9.4,0,164.15
269,"Public Health, Health Services and Primary Care",University of Birmingham,58,42,0,0,44.7
273,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Birmingham,60,40,0,0,15.9
277,"Psychology, Psychiatry and Neuroscience",University of Birmingham,68,32,0,0,40.8
281,Biological Sciences,University of Birmingham,10,66,24,0,42.8
285,Earth Systems and Environmental Sciences,University of Birmingham,10,90,0,0,28.2
289,Chemistry,University of Birmingham,0,80,20,0,28.0
293,Physics,University of Birmingham,24,26,42,8,39.0
297,Mathematical Sciences,University of Birmingham,10,42,32,0,40.0
301,Computer Science and Informatics,University of Birmingham,52,48,0,0,40.6
305,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Birmingham,10,76.7,13.3,0,21.0
309,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Birmingham,70,30,0,0,32.5
313,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Birmingham,30,70,0,0,26.2
317,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Birmingham,50,30,10,10,29.1
321,Civil and Construction Engineering,University of Birmingham,13.3,50,36.7,0,18.1
325,"Geography, Environmental Studies and Archaeology",University of Birmingham,50,50,0,0,25.0
329,Economics and Econometrics,University of Birmingham,26.7,46.6,26.7,0,24.2
333,Business and Management Studies,University of Birmingham,30,50,20,0,53.1
337,Law,University of Birmingham,20,40,30,10,31.79
341,Politics and International Studies,University of Birmingham,40,40,13.3,6.7,47.07
345,Social Work and Social Policy,University of Birmingham,20,70,10,0,34.5
349,Education,University of Birmingham,36.7,50,13.3,0,23.7
353,"Sport and Exercise Sciences, Leisure and Tourism",University of Birmingham,60,40,0,0,34.4
357,Area Studies,University of Birmingham,50,50,0,0,7.6
361,Modern Languages and Linguistics,University of Birmingham,0,80,20,0,33.1
365,English Language and Literature,University of Birmingham,26,74,0,0,37.2
369,History,University of Birmingham,58,42,0,0,37.2
373,Classics,University of Birmingham,46.7,53.3,0,0,20.0
377,Philosophy,University of Birmingham,80,20,0,0,14.0
381,Theology and Religious Studies,University of Birmingham,60,40,0,0,9.0
385,"Art and Design: History, Practice and Theory",University of Birmingham,40,60,0,0,6.2
389,"Music, Drama, Dance and Performing Arts",University of Birmingham,10,70,20,0,10.2
393,"Music, Drama, Dance and Performing Arts",University of Birmingham,40,20,20,20,6.0
397,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Birmingham City University,20,80,0,0,12.1
401,Computer Science and Informatics,Birmingham City University,40,20,0,0,7.4
405,"Architecture, Built Environment and Planning",Birmingham City University,0,50,50,0,4.0
409,Business and Management Studies,Birmingham City University,50,50,0,0,4.7
413,Law,Birmingham City University,0,60,40,0,6.0
417,Social Work and Social Policy,Birmingham City University,0,90,10,0,7.2
421,Education,Birmingham City University,0,0,70,30,7.5
425,English Language and Literature,Birmingham City University,40,60,0,0,12.4
429,"Art and Design: History, Practice and Theory",Birmingham City University,50,50,0,0,32.13
433,"Music, Drama, Dance and Performing Arts",Birmingham City University,40,60,0,0,17.27
437,"Communication, Cultural and Media Studies, Library and Information Management",Birmingham City University,0,100,0,0,11.21
441,Education,Bishop Grosseteste University,0,0,40,50,6.0
445,English Language and Literature,Bishop Grosseteste University,-,-,-,-,2.0
449,History,Bishop Grosseteste University,-,-,-,-,3.0
453,"Psychology, Psychiatry and Neuroscience",University of Bolton,0,40,60,0,5.3
457,General Engineering,University of Bolton,0,40,60,0,14.0
461,"Architecture, Built Environment and Planning",University of Bolton,0,0,10,10,4.2
465,Social Work and Social Policy,University of Bolton,0,0,0,60,4.1
469,Education,University of Bolton,0,40,60,0,7.4
473,English Language and Literature,University of Bolton,60,40,0,0,6.3
477,"Communication, Cultural and Media Studies, Library and Information Management",University of Bolton,0,0,30,30,7.8
481,"Art and Design: History, Practice and Theory",Arts University Bournemouth,0,40,40,20,12.1
485,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Bournemouth University,0,63.3,36.7,0,21.4
489,"Psychology, Psychiatry and Neuroscience",Bournemouth University,0,20,40,40,13.0
493,General Engineering,Bournemouth University,0,73.3,26.7,0,24.8
497,"Geography, Environmental Studies and Archaeology",Bournemouth University,10,40,50,0,29.5
501,Business and Management Studies,Bournemouth University,63.3,36.7,0,0,20.5
505,"Sport and Exercise Sciences, Leisure and Tourism",Bournemouth University,40,40,20,0,14.0
509,"Art and Design: History, Practice and Theory",Bournemouth University,60,40,0,0,13.8
513,"Communication, Cultural and Media Studies, Library and Information Management",Bournemouth University,63.3,23.4,13.3,0,24.8
517,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Bradford,32,68,0,0,44.0
521,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Bradford,0,63.3,36.7,0,16.8
525,Civil and Construction Engineering,University of Bradford,20,30,10,0,7.2
529,"Geography, Environmental Studies and Archaeology",University of Bradford,60,40,0,0,12.8
533,Business and Management Studies,University of Bradford,46.7,40,13.3,0,19.2
537,Politics and International Studies,University of Bradford,60,40,0,0,13.4
541,Social Work and Social Policy,University of Bradford,40,40,20,0,10.33
545,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Brighton,80,20,0,0,22.5
549,Earth Systems and Environmental Sciences,University of Brighton,20,60,20,0,14.25
553,Computer Science and Informatics,University of Brighton,20,80,0,0,14.0
557,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Brighton,0,50,50,0,8.5
561,Business and Management Studies,University of Brighton,73.3,26.7,0,0,15.8
565,Social Work and Social Policy,University of Brighton,40,40,10,10,27.1
569,Education,University of Brighton,0,50,50,0,7.3
573,"Sport and Exercise Sciences, Leisure and Tourism",University of Brighton,26.7,73.3,0,0,21.41
577,"Art and Design: History, Practice and Theory",University of Brighton,54.3,45.7,0,0,63.9
581,"Communication, Cultural and Media Studies, Library and Information Management",University of Brighton,60,30,10,0,14.7
585,Clinical Medicine,University of Bristol,100,0,0,0,84.45
589,"Public Health, Health Services and Primary Care",University of Bristol,100,0,0,0,74.6
593,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Bristol,80,20,0,0,16.18
597,"Psychology, Psychiatry and Neuroscience",University of Bristol,80,20,0,0,68.81
601,Biological Sciences,University of Bristol,22.9,67.1,10,0,64.6
605,"Agriculture, Veterinary and Food Science",University of Bristol,80,20,0,0,34.03
609,Earth Systems and Environmental Sciences,University of Bristol,32,68,0,0,44.28
613,Chemistry,University of Bristol,54.3,34.3,11.4,0,58.6
617,Physics,University of Bristol,26,58,16,0,44.15
621,Mathematical Sciences,University of Bristol,68.9,26.7,4.4,0,83.5
625,Computer Science and Informatics,University of Bristol,60,40,0,0,41.6
629,General Engineering,University of Bristol,72.3,21.5,6.2,0,123.38
633,"Geography, Environmental Studies and Archaeology",University of Bristol,56.7,36.6,6.7,0,46.45
637,"Geography, Environmental Studies and Archaeology",University of Bristol,0,10,50,40,9.3
641,Economics and Econometrics,University of Bristol,100,0,0,0,18.6
645,Business and Management Studies,University of Bristol,70,30,0,0,27.5
649,Law,University of Bristol,68,32,0,0,39.0
653,Politics and International Studies,University of Bristol,10,90,0,0,25.8
657,Social Work and Social Policy,University of Bristol,40,60,0,0,35.9
661,Sociology,University of Bristol,63.3,36.7,0,0,17.0
665,Education,University of Bristol,50,50,0,0,34.5
669,"Sport and Exercise Sciences, Leisure and Tourism",University of Bristol,100,0,0,0,7.0
673,Modern Languages and Linguistics,University of Bristol,20,30,20,30,31.1
677,English Language and Literature,University of Bristol,0,76.7,23.3,0,21.0
681,History,University of Bristol,0,63.3,36.7,0,18.8
685,Classics,University of Bristol,13.3,63.4,23.3,0,15.0
689,Philosophy,University of Bristol,20,70,10,0,14.5
693,Theology and Religious Studies,University of Bristol,0,50,50,0,8.6
697,"Art and Design: History, Practice and Theory",University of Bristol,20,60,20,0,8.0
701,"Music, Drama, Dance and Performing Arts",University of Bristol,60,40,0,0,12.5
705,"Music, Drama, Dance and Performing Arts",University of Bristol,30,30,40,0,9.0
709,"Public Health, Health Services and Primary Care",Brunel University London,60,40,0,0,10.3
713,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Brunel University London,13.3,33.4,53.3,0,50.6
717,"Psychology, Psychiatry and Neuroscience",Brunel University London,73.3,0,26.7,0,22.6
721,Earth Systems and Environmental Sciences,Brunel University London,66.7,33.3,0,0,16.2
725,Mathematical Sciences,Brunel University London,26.7,33.3,13.3,26.7,24.05
729,Computer Science and Informatics,Brunel University London,10,40,20,30,30.5
733,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Brunel University London,0,71.4,28.6,0,63.27
737,General Engineering,Brunel University London,11.4,65.7,11.5,0,63.45
741,Economics and Econometrics,Brunel University London,0,40,40,20,26.2
745,Business and Management Studies,Brunel University London,5.7,54.3,34.3,5.7,61.0
749,Law,Brunel University London,0,30,60,10,30.95
753,Politics and International Studies,Brunel University London,26.7,73.3,0,0,23.8
757,Social Work and Social Policy,Brunel University London,46.7,13.3,40,0,16.1
761,Sociology,Brunel University London,0,80,20,0,12.0
765,Anthropology and Development Studies,Brunel University London,40,0,20,40,9.0
769,Education,Brunel University London,0,90,10,0,14.2
773,"Sport and Exercise Sciences, Leisure and Tourism",Brunel University London,60,40,0,0,28.9
777,English Language and Literature,Brunel University London,0,63.3,10,26.7,23.15
781,"Art and Design: History, Practice and Theory",Brunel University London,60,40,0,0,13.0
785,"Music, Drama, Dance and Performing Arts",Brunel University London,36.7,36.6,26.7,0,18.35
789,"Communication, Cultural and Media Studies, Library and Information Management",Brunel University London,0,26.7,46.6,26.7,19.0
793,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Buckinghamshire New University,0,20,80,0,7.1
797,Business and Management Studies,Buckinghamshire New University,-,-,-,-,2.33
801,"Sport and Exercise Sciences, Leisure and Tourism",Buckinghamshire New University,0,10,50,0,5.0
805,"Art and Design: History, Practice and Theory",Buckinghamshire New University,20,60,20,0,9.6
809,Clinical Medicine,University of Cambridge,86,2,12,0,192.05
813,"Public Health, Health Services and Primary Care",University of Cambridge,28.6,65.7,5.7,0,57.07
817,"Psychology, Psychiatry and Neuroscience",University of Cambridge,73.3,17.8,8.9,0,75.95
821,Biological Sciences,University of Cambridge,70,24,6,0,189.63
825,"Agriculture, Veterinary and Food Science",University of Cambridge,58,26,16,0,39.6
829,Earth Systems and Environmental Sciences,University of Cambridge,52,48,0,0,42.55
833,Chemistry,University of Cambridge,65.7,34.3,0,0,62.7
837,Physics,University of Cambridge,47.5,42.5,10,0,153.3
841,Mathematical Sciences,University of Cambridge,44.7,44.6,10.7,0,143.77
845,Computer Science and Informatics,University of Cambridge,86.7,13.3,0,0,54.6
849,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",University of Cambridge,50,30,20,0,32.3
853,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Cambridge,80,20,0,0,33.56
857,General Engineering,University of Cambridge,68.4,27.4,4.2,0,177.2
861,"Architecture, Built Environment and Planning",University of Cambridge,68,32,0,0,39.09
865,"Geography, Environmental Studies and Archaeology",University of Cambridge,42,42,16,0,42.7
869,"Geography, Environmental Studies and Archaeology",University of Cambridge,56.7,43.3,0,0,45.7
873,Economics and Econometrics,University of Cambridge,50,50,0,0,27.0
877,Business and Management Studies,University of Cambridge,84,16,0,0,38.9
881,Law,University of Cambridge,55.6,40,4.4,0,75.8
885,Politics and International Studies,University of Cambridge,40,40,20,0,29.5
889,Sociology,University of Cambridge,40,60,0,0,15.87
893,Anthropology and Development Studies,University of Cambridge,48,52,0,0,35.88
897,Education,University of Cambridge,80,10,10,0,34.2
901,Area Studies,University of Cambridge,20,70,10,0,32.0
905,Modern Languages and Linguistics,University of Cambridge,35.5,53.6,10.9,0,96.53
909,English Language and Literature,University of Cambridge,10,65,15,10,66.6
913,History,University of Cambridge,50.8,30.7,18.5,0,115.1
917,Classics,University of Cambridge,66,34,0,0,38.5
921,Philosophy,University of Cambridge,0,100,0,0,18.2
925,Philosophy,University of Cambridge,74,26,0,0,34.96
929,Theology and Religious Studies,University of Cambridge,53.3,46.7,0,0,24.4
933,"Music, Drama, Dance and Performing Arts",University of Cambridge,0,80,20,0,22.4
937,Clinical Medicine,Institute of Cancer Research,90,10,0,0,69.09
941,Biological Sciences,Institute of Cancer Research,80,20,0,0,34.0
945,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Canterbury Christ Church University,0,90,10,0,13.9
949,"Agriculture, Veterinary and Food Science",Canterbury Christ Church University,0,0,70,30,12.5
953,Politics and International Studies,Canterbury Christ Church University,0,0,80,20,14.5
957,Education,Canterbury Christ Church University,0,63.3,36.7,0,21.6
961,"Sport and Exercise Sciences, Leisure and Tourism",Canterbury Christ Church University,40,60,0,0,14.8
965,English Language and Literature,Canterbury Christ Church University,0,50,30,20,11.8
969,History,Canterbury Christ Church University,0,50,50,0,14.0
973,Theology and Religious Studies,Canterbury Christ Church University,0,80,20,0,6.0
977,"Music, Drama, Dance and Performing Arts",Canterbury Christ Church University,10,50,40,0,13.6
981,"Communication, Cultural and Media Studies, Library and Information Management",Canterbury Christ Church University,0,30,70,0,14.3
985,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Central Lancashire,23.3,43.4,33.3,0,49.56
989,"Psychology, Psychiatry and Neuroscience",University of Central Lancashire,46.7,53.3,0,0,17.6
993,Physics,University of Central Lancashire,0,50,36.7,13.3,20.91
997,"Electrical and Electronic Engineering, Metallurgy and Materials",University of Central Lancashire,0,0,90,10,8.0
1001,General Engineering,University of Central Lancashire,0,0,80,20,11.6
1005,"Architecture, Built Environment and Planning",University of Central Lancashire,0,0,100,0,9.9
1009,"Geography, Environmental Studies and Archaeology",University of Central Lancashire,0,0,80,20,8.0
1013,Business and Management Studies,University of Central Lancashire,40,30,30,0,11.45
1017,Law,University of Central Lancashire,0,50,50,0,10.8
1021,Social Work and Social Policy,University of Central Lancashire,10,90,0,0,27.32
1025,"Sport and Exercise Sciences, Leisure and Tourism",University of Central Lancashire,0,10,90,0,21.2
1029,Modern Languages and Linguistics,University of Central Lancashire,20,30,50,0,10.6
1033,English Language and Literature,University of Central Lancashire,0,80,20,0,7.2
1037,History,University of Central Lancashire,0,50,30,20,10.18
1041,"Art and Design: History, Practice and Theory",University of Central Lancashire,20,40,40,0,13.78
1045,"Communication, Cultural and Media Studies, Library and Information Management",University of Central Lancashire,0,70,30,0,8.85
1049,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Chester,13.3,40,36.7,10,23.0
1053,"Psychology, Psychiatry and Neuroscience",University of Chester,40,40,20,0,13.4
1057,Mathematical Sciences,University of Chester,0,10,30,60,6.75
1061,Computer Science and Informatics,University of Chester,0,0,0,20,4.0
1065,"Geography, Environmental Studies and Archaeology",University of Chester,0,0,10,50,9.6
1069,"Geography, Environmental Studies and Archaeology",University of Chester,0,0,0,90,4.2
1073,Business and Management Studies,University of Chester,0,0,60,40,6.0
1077,Social Work and Social Policy,University of Chester,0,0,0,40,5.0
1081,Education,University of Chester,0,0,30,70,5.0
1085,"Sport and Exercise Sciences, Leisure and Tourism",University of Chester,0,40,60,0,12.4
1089,Area Studies,University of Chester,0,60,40,0,8.2
1093,English Language and Literature,University of Chester,0,20,60,20,11.0
1097,History,University of Chester,0,30,70,0,6.0
1101,Theology and Religious Studies,University of Chester,0,10,90,0,11.1
1105,"Art and Design: History, Practice and Theory",University of Chester,0,0,100,0,3.7
1109,"Music, Drama, Dance and Performing Arts",University of Chester,0,60,40,0,9.1
1113,"Psychology, Psychiatry and Neuroscience",University of Chichester,0,0,40,60,6.0
1117,"Sport and Exercise Sciences, Leisure and Tourism",University of Chichester,53.3,36.7,10,0,19.0
1121,English Language and Literature,University of Chichester,0,50,50,0,7.5
1125,History,University of Chichester,0,20,80,0,7.5
1129,"Music, Drama, Dance and Performing Arts",University of Chichester,50,10,40,0,11.7
1133,"Allied Health Professions, Dentistry, Nursing and Pharmacy",City University London,55,45,0,0,67.6
1137,"Psychology, Psychiatry and Neuroscience",City University London,20,40,40,0,28.0
1141,Mathematical Sciences,City University London,40,40,20,0,16.05
1145,Computer Science and Informatics,City University London,40,50,10,0,32.0
1149,General Engineering,City University London,13.3,66.7,20,0,53.6
1153,Economics and Econometrics,City University London,20,30,10,0,13.7
1157,Business and Management Studies,City University London,60,26.7,13.3,0,78.29
1161,Law,City University London,0,73.3,26.7,0,20.5
1165,Politics and International Studies,City University London,0,80,20,0,13.2
1169,Sociology,City University London,26.7,73.3,0,0,21.6
1173,"Music, Drama, Dance and Performing Arts",City University London,40,60,0,0,9.2
1177,"Communication, Cultural and Media Studies, Library and Information Management",City University London,53.3,46.7,0,0,24.6
1181,"Art and Design: History, Practice and Theory",Courtauld Institute of Art,40,60,0,0,32.5
1185,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Coventry University,13.3,76.7,10,0,17.6
1189,"Psychology, Psychiatry and Neuroscience",Coventry University,60,40,0,0,14.0
1193,Earth Systems and Environmental Sciences,Coventry University,0,70,30,0,10.4
1197,Mathematical Sciences,Coventry University,0,80,20,0,9.0
1201,Computer Science and Informatics,Coventry University,10,90,0,0,13.0
1205,General Engineering,Coventry University,0,36.7,63.3,0,18.7
1209,Business and Management Studies,Coventry University,40,60,0,0,17.0
1213,Politics and International Studies,Coventry University,0,86.7,13.3,0,18.7
1217,"Art and Design: History, Practice and Theory",Coventry University,70,30,0,0,34.45
1221,"Agriculture, Veterinary and Food Science",Cranfield University,60,40,0,0,26.3
1225,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Cranfield University,31.2,45.3,23.5,0,156.7
1229,Business and Management Studies,Cranfield University,60,24,16,0,40.81
1233,"Art and Design: History, Practice and Theory",University for the Creative Arts,40,50,10,0,20.75
1237,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of Cumbria,-,-,-,-,3.0
1241,"Geography, Environmental Studies and Archaeology",University of Cumbria,0,0,60,40,6.0
1245,Business and Management Studies,University of Cumbria,-,-,-,-,2.8
1249,Education,University of Cumbria,0,20,50,30,4.72
1253,"Sport and Exercise Sciences, Leisure and Tourism",University of Cumbria,0,0,80,20,6.0
1257,"Art and Design: History, Practice and Theory",University of Cumbria,20,70,10,0,4.28
1261,"Allied Health Professions, Dentistry, Nursing and Pharmacy",De Montfort University,40,30,30,0,31.4
1265,Computer Science and Informatics,De Montfort University,0,66.7,33.3,0,24.7
1269,General Engineering,De Montfort University,0,36.7,50,13.3,24.7
1273,"Architecture, Built Environment and Planning",De Montfort University,40,50,10,0,14.1
1277,Business and Management Studies,De Montfort University,50,23.3,26.7,0,21.7
1281,Law,De Montfort University,0,40,40,20,9.4
1285,Social Work and Social Policy,De Montfort University,53.3,20,26.7,0,20.1
1289,English Language and Literature,De Montfort University,40,60,0,0,13.2
1293,History,De Montfort University,60,40,0,0,12.6
1297,"Art and Design: History, Practice and Theory",De Montfort University,33.3,40,26.7,0,22.5
1301,"Music, Drama, Dance and Performing Arts",De Montfort University,10,90,0,0,13.0
1305,"Communication, Cultural and Media Studies, Library and Information Management",De Montfort University,0,100,0,0,10.8
1309,"Psychology, Psychiatry and Neuroscience",University of Derby,40,40,20,0,14.4
1313,Biological Sciences,University of Derby,0,0,60,0,12.0
1317,Earth Systems and Environmental Sciences,University of Derby,0,0,30,70,7.3
1321,Computer Science and Informatics,University of Derby,0,0,0,100,12.0
1325,General Engineering,University of Derby,0,40,60,0,13.0
1329,Business and Management Studies,University of Derby,10,30,60,0,11.0
1333,Law,University of Derby,0,20,80,0,6.2
1337,Education,University of Derby,0,0,80,20,6.0
1341,"Art and Design: History, Practice and Theory",University of Derby,20,30,50,0,8.2
1345,"Communication, Cultural and Media Studies, Library and Information Management",University of Derby,0,80,20,0,16.7
1349,"Psychology, Psychiatry and Neuroscience",University of Durham,53.3,20,26.7,0,24.7
1353,Biological Sciences,University of Durham,68,24,8,0,39.0
1357,Earth Systems and Environmental Sciences,University of Durham,60,30,10,0,34.81
1361,Chemistry,University of Durham,76,24,0,0,40.8
1365,Physics,University of Durham,40,60,0,0,74.55
1369,Mathematical Sciences,University of Durham,56.7,43.3,0,0,54.0
1373,Computer Science and Informatics,University of Durham,30,50,20,0,14.2
1377,General Engineering,University of Durham,70,30,0,0,34.0
1381,"Geography, Environmental Studies and Archaeology",University of Durham,40,33.3,26.7,0,24.91
1385,"Geography, Environmental Studies and Archaeology",University of Durham,54.3,28.6,11.4,5.7,62.9
1389,Business and Management Studies,University of Durham,24,52,24,0,44.81
1393,Law,University of Durham,80,20,0,0,24.3
1397,Politics and International Studies,University of Durham,26.7,73.3,0,0,24.8
1401,Social Work and Social Policy,University of Durham,26.7,60,13.3,0,24.05
1405,Anthropology and Development Studies,University of Durham,53.3,46.7,0,0,24.75
1409,Education,University of Durham,100,0,0,0,24.5
1413,Modern Languages and Linguistics,University of Durham,30,40,30,0,34.0
1417,English Language and Literature,University of Durham,60,30,10,0,34.03
1421,History,University of Durham,50,40,10,0,28.5
1425,Classics,University of Durham,50,50,0,0,14.2
1429,Philosophy,University of Durham,13.3,60,0,26.7,18.85
1433,Theology and Religious Studies,University of Durham,76.7,23.3,0,0,24.8
1437,"Music, Drama, Dance and Performing Arts",University of Durham,80,20,0,0,14.9
1441,Clinical Medicine,University of East Anglia,40,20,0,40,14.4
1445,"Public Health, Health Services and Primary Care",University of East Anglia,50,50,0,0,14.0
1449,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of East Anglia,40,10,50,0,14.2
1453,"Allied Health Professions, Dentistry, Nursing and Pharmacy",University of East Anglia,40,60,0,0,14.0
1457,"Psychology, Psychiatry and Neuroscience",University of East Anglia,60,40,0,0,13.6
1461,Biological Sciences,University of East Anglia,40,60,0,0,44.0
1465,"Agriculture, Veterinary and Food Science",University of East Anglia,40,60,0,0,11.0
1469,Earth Systems and Environmental Sciences,University of East Anglia,77.1,22.9,0,0,63.0
1473,Chemistry,University of East Anglia,40,60,0,0,19.6
1477,Mathematical Sciences,University of East Anglia,0,73.3,26.7,0,22.0
1481,Computer Science and Informatics,University of East Anglia,26.7,50,23.3,0,18.2
1485,Economics and Econometrics,University of East Anglia,20,60,20,0,14.0
1489,Business and Management Studies,University of East Anglia,50,50,0,0,24.1
1493,Law,University of East Anglia,40,40,20,0,12.6
1497,Politics and International Studies,University of East Anglia,0,90,10,0,12.0
1501,Social Work and Social Policy,University of East Anglia,80,20,0,0,9.6
1505,Anthropology and Development Studies,University of East Anglia,46.7,40,13.3,0,23.8
1509,Education,University of East Anglia,0,80,10,10,13.2
1513,Area Studies,University of East Anglia,50,50,0,0,14.0
1517,English Language and Literature,University of East Anglia,53.3,46.7,0,0,18.3
1521,History,University of East Anglia,30,40,30,0,34.8
1525,Philosophy,University of East Anglia,50,50,0,0,6.3
1529,"Art and Design: History, Practice and Theory",University of East Anglia,80,20,0,0,14.9
1533,"Communication, Cultural and Media Studies, Library and Information Management",University of East Anglia,0,70,30,0,9.5
